No,企業名,住所,緯度,経度,最寄り駅,路線,駅からの距離km,判定方法,アクセス原文
1A,株式会社デンケン,愛知県犬山市大字羽黒字馬道7番地1,35.35247,136.973373,羽黒駅,名鉄犬山線,2.2,アクセス記載,名鉄犬山線 羽黒駅から徒歩15分　（高校から自転車で40分程度）
1B,東名化学工業株式会社　小牧工場,小牧市大草檀之上5410,35.301033,137.002777,小牧原駅,名鉄小牧線,7.6,アクセス記載,名鉄小牧原駅から自転車で約25分またはJR春日井駅から自転車で約25分
1C,東罐興業株式会社　小牧工場,愛知県小牧市東田中2118,35.298954,136.94664,小牧原駅,名鉄小牧線,3.2,アクセス記載,名鉄小牧線「小牧原」「味岡」駅から徒歩13分
1D,中央可鍛工業株式会社　日進工場,日進工場：愛知県日進市浅田平子１－３００,35.119911,137.029266,赤池駅,名古屋市営地下鉄鶴舞線; 名鉄豊田線,1.5,アクセス記載,地下鉄鶴舞線　赤池駅　徒歩１５分
1E,アイカテック建材株式会社名古屋工場　※安全靴貸出のためサイズを要連絡,愛知県海部郡大治町大字西條字西之川２５,35.188705,136.809784,七宝駅,名鉄津島線,2.0,アクセス記載,名鉄津島線七宝駅より徒歩約12分
1G,株式会社青山製作所　大口工場,愛知県丹羽郡大口町高橋一丁目8番地,35.3251,136.895706,江南駅,名鉄犬山線,2.4,アクセス記載,江南駅から車で5分（公共交通機関で来社される場合は一度ご連絡ください）
1H,リスパック株式会社 真空成形工場,愛知県犬山市羽黒宮浦1番地,35.34903,136.941666,楽田駅,名鉄小牧線,0.4,最近接計算,
1I,株式会社東海理化電機製作所,愛知県丹羽郡大口町豊田三丁目260番地,35.308201,136.892395,布袋駅,名鉄犬山線,1.4,最近接計算,
1J,株式会社林商店,愛知県江南市野白町東千丸88,35.342197,136.874588,江南駅,名鉄犬山線,1.2,アクセス記載,名鉄「江南駅」　徒歩　10分
1K,グンゼ江南工場,愛知県江南市村久野町鳥附１番地,35.352619,136.869812,江南駅,名鉄犬山線,2.3,最近接計算,古知野高校から自転車で10分程度
2A,福玉米粒麦株式会社,愛知県江南市南山町西31,35.31641,136.873947,布袋駅,名鉄犬山線,1.9,アクセス記載,名鉄犬山線布袋駅東口から徒歩3分
2B,サンハウス食品株式会社,愛知県江南市高屋町西里７７番地,35.353722,136.875168,江南駅,名鉄犬山線,2.4,最近接計算,高校から自転車で10分
2C,株式会社扶桑守口食品,愛知県丹羽郡扶桑町大字山那字屋敷地757,35.371872,136.907837,扶桑駅,名鉄犬山線,1.5,アクセス記載,名鉄犬山線扶桑駅西口から徒歩25分、高校から自転車で約30分
2D,大口屋木賀工場,江南市木賀町定和244-1 その他,35.323299,136.86908,布袋駅,名鉄犬山線,2.3,アクセス記載,名鉄布袋駅より徒歩15分
3A,株式会社メイコン　本社,本社（愛知県小牧市大字三ツ渕950番地）,35.293083,136.885376,岩倉駅,名鉄犬山線,2.0,アクセス記載,岩倉駅にて乗り換え名鉄バス「三ツ渕西」駅 徒歩5分
3B,キムラユニティー株式会社　犬山工場（調整中）,愛知県犬山市字舟田10番地,35.329754,136.943909,楽田駅,名鉄小牧線,1.8,アクセス記載,名鉄小牧線　楽田駅から徒歩10分
3C,福玉ロジスティクス株式会社　大口センター,集合場所：丹羽郡大口町御供所1-65　就業体験場所：丹羽郡大口町御供所3丁目122番地,35.314816,136.893631,布袋駅,名鉄犬山線,0.7,アクセス記載,名鉄犬山線布袋駅から自転車10分・徒歩20分　古知野高校から自転車20分
3D,ＮＸキャッシュ・ロジスティクス株式会社　中部支店,愛知県名古屋市中村区並木1-81-1,35.154476,136.850098,岩塚駅,名古屋市営地下鉄東山線,2.1,アクセス記載,地下鉄 岩塚駅／JR・近鉄 八田駅より徒歩10分
41A,株式会社愛知イエローハット　一宮店,一宮市緑４－３ー１３,35.299957,136.822708,一宮駅,名鉄名古屋本線,1.8,アクセス記載,一宮駅より3.2Km自転車16分
41B,ドコモショップ江南店,愛知県江南市木賀町定和163,35.323132,136.868393,布袋駅,名鉄犬山線,2.3,アクセス記載,名鉄布袋駅から徒歩13分
41C,江南郵便局,江南市赤童子町良原143-1,35.33247,136.866745,江南駅,名鉄犬山線,0.4,アクセス記載,名鉄　江南駅から徒歩10分
41E,株式会社綿半ホームエイド江南店,江南市上奈良町緑13,35.332783,136.859161,江南駅,名鉄犬山線,1.1,最近接計算,
42A,江南中央食品,江南市古知野町北屋敷242,35.3391,136.869308,江南駅,名鉄犬山線,0.8,アクセス記載,江南駅から徒歩10分　高校から徒歩10分
42B,ガレ・ドゥ・ワタナベ,江南市小折町八反畑8,35.313831,136.878494,布袋駅,名鉄犬山線,1.6,アクセス記載,名鉄犬山線布袋駅より徒歩15分 布袋駅から628m
43A,GARN（ガルン）　モゾワンダーシティ店,愛知県名古屋市西区二方町40番,35.225266,136.883301,上小田井駅,名鉄犬山線; 名古屋市営地下鉄鶴舞線,0.9,最近接計算,
43B,きもの館なかね,愛知県江南市古知野町本郷３４,35.339359,136.871674,江南駅,名鉄犬山線,0.8,アクセス記載,江南駅から徒歩7分
44A1,榮美容室本店,一宮市大江2-9-16,35.303158,136.803268,尾張一宮駅,JR東海道本線,0.8,アクセス記載,尾張一宮駅東口から徒歩８分
44A2,サロンド榮,一宮市浅野西大土106,35.294224,136.82579,一宮駅,名鉄名古屋本線,2.3,最近接計算,馬見塚バス停から徒歩１０分
44A3,FUSION,一宮市大江2-9-19,35.303356,136.803253,尾張一宮駅,JR東海道本線,0.7,アクセス記載,尾張一宮駅東口から徒歩８分
44B,美容室ISA,丹羽郡大口町丸2-36 メガドンキユニー大口店　1F,35.330742,136.905304,柏森駅,名鉄犬山線,3.2,アクセス記載,柏森駅から徒歩25分
44C,TJ天気予報 7mm 北名古屋店,北名古屋市鹿田才海82番2,35.235859,136.881241,上小田井駅,名鉄犬山線; 名古屋市営地下鉄鶴舞線,1.6,最近接計算,
44D,アメーテールアーム,愛知県小牧市市之久田1-73-1,35.274368,136.920776,間内駅,名鉄小牧線,1.4,アクセス記載,名鉄小牧線間内駅から徒歩１５分
5A,九品寺幼稚園,一宮市真清田2-14-7,35.311146,136.802643,尾張一宮駅,JR東海道本線,0.3,アクセス記載,JR東海道線尾張一宮駅、名鉄一宮駅　徒歩15分
5B,江南市立古知野西保育園,江南市東野町郷前48,35.334476,136.852432,江南駅,名鉄犬山線,1.7,アクセス記載,①江南駅/名鉄バス→東野→徒歩5分②江南駅/名鉄バス→東野交番前→徒歩11分③古知野高校→自転車10分
5C,江南市立布袋西保育園,江南市木賀町定和３１,35.323299,136.867432,布袋駅,名鉄犬山線,2.4,アクセス記載,布袋駅より徒歩15分
5D,江南市立古知野北保育園,江南市勝佐町田代137番地,35.354492,136.88533,新木曽川駅,名鉄名古屋本線,2.0,最近接計算,自転車で15～20分
5E,江南市立宮田東保育園,江南市宮田神明町栄174,35.360222,136.858276,江南駅,名鉄犬山線,3.3,アクセス記載,江南駅から20分 古知野高校から12分
5F,江南市立草井保育園,江南市草井町若草57,35.368015,136.885666,扶桑駅,名鉄犬山線,2.7,最近接計算,古知野高校から自転車で15分
5G,江南市立古知野中保育園,江南市古知野町熱田203,35.342247,136.870865,江南駅,名鉄犬山線,1.1,最近接計算,自転車で約5分
5H,江南市立布袋保育園,江南市布袋下山町南70,35.315956,136.869095,布袋駅,名鉄犬山線,2.3,アクセス記載,布袋駅から徒歩7分 古知野高校から自転車20分
5I,江南市立古知野南保育園,江南市古知野町塔塚160,35.336178,136.867859,江南駅,名鉄犬山線,0.5,アクセス記載,江南駅より徒歩5～7分 自転車1.2㎞　5～10分
5J,江南市立布袋北保育園,江南市安良町八王子137,35.324711,136.881989,布袋駅,名鉄犬山線,1.2,最近接計算,古知野高校から20分程、3.52㎞
5K,江南市立古知野東保育園,江南市高屋町大師７２番地,35.34539,136.880692,江南駅,名鉄犬山線,1.7,アクセス記載,江南駅より徒歩30分
5L,江南市立門弟山保育園,江南市村久野町門弟山271,35.348694,136.863403,江南駅,名鉄犬山線,2.0,最近接計算,古知野高校から自転車で5分
5M,江南市立宮田南保育園,江南市前飛保町西町　2,35.345955,136.852081,江南駅,名鉄犬山線,2.3,最近接計算,・古知野高校から宮田南保育園まで徒歩約25分 ・西アピタバス停（ヴィアモール前）より徒歩約10分
5N,江南市立布袋東保育園,江南市小折町八反畑１４７,35.311016,136.875839,布袋駅,名鉄犬山線,2.0,アクセス記載,名鉄布袋駅より徒歩１５分
5O,江南市立宮田保育園,江南市飛保町新開23,35.347504,136.864716,江南駅,名鉄犬山線,1.8,最近接計算,自転車で10分程度
5P,江南市立藤里保育園,江南市藤が丘7丁目1-16,35.352188,136.85791,江南駅,名鉄犬山線,2.5,アクセス記載,江南駅から江南団地行きバス乗車・まんだら寺前下車
5Q,江南市立小鹿保育園,江南市小杁町長者毛東1,35.363976,136.874802,新木曽川駅,名鉄名古屋本線,3.4,最近接計算,古知野高校から自転車で20分程度
